original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
delfi.ee/artikkel/120312992,delfi.ee/artikkel/120233574,3,2,,,FALSE
delfi.ee/artikkel/120302692,postimees.ee/8046358,2,3,,,FALSE
delfi.ee/artikkel/120296700,delfi.ee/artikkel/120296308,2,3,,,FALSE
delfi.ee/artikkel/120293878,err.ee/1609344030,2,3,,,FALSE
delfi.ee/artikkel/120293712,delfi.ee/artikkel/120219473,3,2,,,FALSE
delfi.ee/artikkel/120289806,delfi.ee/artikkel/120285655,3,2,,,FALSE
delfi.ee/artikkel/120281249,err.ee/1609272471,2,3,,,FALSE
delfi.ee/artikkel/120279371,delfi.ee/artikkel/120278615,2,3,,,FALSE
delfi.ee/artikkel/120276934,delfi.ee/artikkel/120276064,2,3,,,FALSE
delfi.ee/artikkel/120276824,delfi.ee/artikkel/95505417,3,3,2,,FALSE
delfi.ee/artikkel/120275134,postimees.ee/7969758,3,2,,,FALSE
delfi.ee/artikkel/120256837,err.ee/1609199110,3,3,3,,FALSE
delfi.ee/artikkel/120256837,delfi.ee/artikkel/120256551,3,2,3,,FALSE
delfi.ee/artikkel/120256837,delfi.ee/artikkel/120256600,3,2,,,FALSE
delfi.ee/artikkel/120256652,err.ee/1609199110,2,3,3,,FALSE
delfi.ee/artikkel/120256652,delfi.ee/artikkel/120256551,2,3,,,FALSE
delfi.ee/artikkel/120256600,err.ee/1609199110,2,3,,,FALSE
delfi.ee/artikkel/120256284,delfi.ee/artikkel/120253960,2,3,,,FALSE
delfi.ee/artikkel/120253509,err.ee/1609158322,3,2,,,FALSE
delfi.ee/artikkel/120253509,err.ee/1608914054,3,3,2,,FALSE
delfi.ee/artikkel/120253347,delfi.ee/artikkel/120253218,2,3,,,FALSE
delfi.ee/artikkel/120240138,delfi.ee/artikkel/120239190,2,3,,,FALSE
delfi.ee/artikkel/120237080,err.ee/1609120679,3,2,,,FALSE
delfi.ee/artikkel/120235920,delfi.ee/artikkel/120234678,2,3,2,,FALSE
delfi.ee/artikkel/120231382,err.ee/1609097618,2,3,,,FALSE
delfi.ee/artikkel/120231382,delfi.ee/artikkel/120231208,3,2,,,FALSE
delfi.ee/artikkel/120230912,err.ee/1609090223,2,3,,,FALSE
delfi.ee/artikkel/120226368,err.ee/1609002911,3,2,,,FALSE
delfi.ee/artikkel/120225477,delfi.ee/artikkel/93178753,2,3,,,FALSE
delfi.ee/artikkel/120223408,err.ee/1609059011,3,2,,,FALSE
delfi.ee/artikkel/120222291,delfi.ee/artikkel/120221873,2,3,,,FALSE
delfi.ee/artikkel/120218665,err.ee/1609040909,3,2,,,FALSE
delfi.ee/artikkel/120217166,delfi.ee/artikkel/120212130,2,3,,,FALSE
delfi.ee/artikkel/120212400,err.ee/1609024367,2,3,,,FALSE
delfi.ee/artikkel/120199808,err.ee/1608996436,2,3,,,FALSE
delfi.ee/artikkel/120199056,err.ee/1608996436,3,2,3,,FALSE
